issue_type,location_type,duration_days,description,priority
drainage,highway,17,"Drain clogged, water overflowing onto road. urgent",high
streetlight,highway,3,"Flickering streetlight, sparks visible",high
garbage,residential,2,"Overflowing garbage bin, foul smell. hazardous",high
drainage,highway,6,"Open drainage cover, dangerous for pedestrians. immediate attention needed causing accidents",high
drainage,highway,3,"Drain clogged, water overflowing onto road. causing accidents",high
drainage,alley,6,Sewage backup overflowing onto street,high
pothole,alley,8,Deep pothole causing vibration to vehicles. causing accidents,high
streetlight,main_road,8,"Streetlight intermittent, safety concern",medium
pothole,highway,3,Deep pothole causing vibration to vehicles. low priority,medium
drainage,main_road,1,Drainage blocked with garbage and leaves,low
garbage,residential,3,"Garbage dumped near sidewalk, attracting animals",medium
drainage,highway,1,Standing water near drain after rain. hazardous immediate attention needed,high
garbage,residential,15,"Overflowing garbage bin, foul smell",high
pothole,alley,2,"Large pothole on the road, car damage likely",low
streetlight,residential,1,"Streetlight intermittent, safety concern. please fix soon",low
streetlight,alley,0,Pole lamp broken and leaning,low
garbage,residential,7,Pile of household waste blocking pedestrian path. causing accidents,high
drainage,highway,7,Standing water near drain after rain,high
streetlight,alley,2,Light out on the main road intersection,low
drainage,main_road,0,Drainage blocked with garbage and leaves. hazardous,high
streetlight,alley,3,"Flickering streetlight, sparks visible. urgent",high
drainage,main_road,2,Sewage backup overflowing onto street,high
pothole,alley,7,"Pothole filled with water, hidden hazard. low priority",medium
garbage,alley,6,"Garbage dumped near sidewalk, attracting animals. please fix soon",medium
garbage,alley,3,Pile of household waste blocking pedestrian path,high
garbage,highway,1,Scattered trash on street after collection missed. low priority,low
garbage,residential,30,"Garbage dumped near sidewalk, attracting animals. needs quick fix",high
garbage,alley,4,"Overflowing garbage bin, foul smell",high
streetlight,residential,8,"Streetlight intermittent, safety concern. hazardous",high
streetlight,residential,1,Pole lamp broken and leaning,low
streetlight,alley,4,"Streetlight not working at night, area dark. low priority",medium
drainage,residential,0,"Open drainage cover, dangerous for pedestrians",low
garbage,residential,4,Illegal dumping near drainage. low priority,medium
drainage,residential,23,Sewage backup overflowing onto street,high
drainage,main_road,3,Drainage blocked with garbage and leaves,medium
streetlight,highway,0,Light out on the main road intersection,high
pothole,alley,0,"Pothole filled with water, hidden hazard",low
streetlight,highway,3,Light out on the main road intersection. causing accidents,high
streetlight,main_road,1,Pole lamp broken and leaning. causing accidents,high
drainage,highway,0,Standing water near drain after rain. needs quick fix,low
streetlight,residential,9,Light out on the main road intersection,medium
drainage,main_road,4,Sewage backup overflowing onto street,high
pothole,main_road,2,Multiple potholes across the lane,low
garbage,alley,16,"Overflowing garbage bin, foul smell. causing accidents urgent",high
pothole,alley,0,"Large pothole on the road, car damage likely. hazardous",high
garbage,main_road,21,Illegal dumping near drainage,high
streetlight,alley,2,Pole lamp broken and leaning. needs quick fix,low
drainage,residential,15,"Drain clogged, water overflowing onto road. low priority",high
streetlight,main_road,6,Pole lamp broken and leaning,medium
pothole,alley,12,Small pothole near the curb. low priority,high
pothole,residential,28,Small pothole near the curb,high
pothole,main_road,2,"Pothole filled with water, hidden hazard. immediate attention needed immediate attention needed",low
drainage,main_road,22,"Drain clogged, water overflowing onto road",high
streetlight,highway,3,Light out on the main road intersection. immediate attention needed,high
pothole,alley,3,"Pothole filled with water, hidden hazard",medium
pothole,main_road,2,"Pothole filled with water, hidden hazard. please fix soon",low
pothole,highway,5,"Large pothole on the road, car damage likely",medium
garbage,highway,1,"Overflowing garbage bin, foul smell. causing accidents",high
drainage,residential,5,Standing water near drain after rain. not urgent please fix soon,high
garbage,highway,5,Pile of household waste blocking pedestrian path. urgent,high
drainage,main_road,10,Sewage backup overflowing onto street,high
pothole,residential,12,Multiple potholes across the lane,high
drainage,main_road,4,Sewage backup overflowing onto street. please fix soon,high
streetlight,alley,2,"Flickering streetlight, sparks visible",high
streetlight,residential,2,"Flickering streetlight, sparks visible. please fix soon",high
streetlight,alley,1,"Streetlight not working at night, area dark",low
garbage,main_road,0,"Garbage dumped near sidewalk, attracting animals. not urgent",low
drainage,main_road,2,Sewage backup overflowing onto street,high
drainage,residential,2,Standing water near drain after rain,low
drainage,residential,23,"Open drainage cover, dangerous for pedestrians",high
drainage,main_road,5,Standing water near drain after rain. not urgent,high
garbage,alley,2,Illegal dumping near drainage,low
garbage,residential,6,"Garbage dumped near sidewalk, attracting animals. immediate attention needed",medium
pothole,highway,1,"Large pothole on the road, car damage likely",low
streetlight,alley,4,Light out on the main road intersection,medium
pothole,highway,6,Small pothole near the curb. causing accidents,high
streetlight,highway,4,Pole lamp broken and leaning. urgent,high
pothole,residential,3,Deep pothole causing vibration to vehicles. causing accidents urgent,high
garbage,main_road,35,"Overflowing garbage bin, foul smell. causing accidents",high
streetlight,residential,14,"Streetlight not working at night, area dark",high
drainage,main_road,6,"Drain clogged, water overflowing onto road. not urgent needs quick fix",high
garbage,alley,5,Pile of household waste blocking pedestrian path. urgent,high
pothole,highway,6,Small pothole near the curb,medium
drainage,residential,1,"Drain clogged, water overflowing onto road",high
drainage,main_road,3,Drainage blocked with garbage and leaves,medium
pothole,alley,0,Multiple potholes across the lane,low
drainage,highway,4,Standing water near drain after rain. low priority,high
garbage,main_road,5,Scattered trash on street after collection missed,high
drainage,residential,1,Standing water near drain after rain,low
streetlight,alley,23,Pole lamp broken and leaning. needs quick fix,medium
garbage,residential,16,Pile of household waste blocking pedestrian path. please fix soon,high
streetlight,residential,8,Light out on the main road intersection,medium
drainage,highway,5,Standing water near drain after rain,high
drainage,residential,14,Sewage backup overflowing onto street,high
drainage,main_road,0,Drainage blocked with garbage and leaves. not urgent,low
pothole,highway,10,Multiple potholes across the lane. hazardous,high
streetlight,alley,0,"Streetlight not working at night, area dark. low priority",low
garbage,alley,11,"Garbage dumped near sidewalk, attracting animals",high
pothole,main_road,2,"Pothole filled with water, hidden hazard. causing accidents",high
pothole,alley,14,Deep pothole causing vibration to vehicles,high
streetlight,main_road,20,Light out on the main road intersection. causing accidents,high
pothole,main_road,1,"Large pothole on the road, car damage likely. please fix soon hazardous",high
pothole,highway,4,Small pothole near the curb. low priority,medium
garbage,highway,27,Illegal dumping near drainage. not urgent,high
streetlight,alley,4,"Streetlight intermittent, safety concern",medium
pothole,alley,13,"Large pothole on the road, car damage likely",high
streetlight,alley,6,Light out on the main road intersection,medium
garbage,residential,3,Pile of household waste blocking pedestrian path,high
garbage,highway,2,Pile of household waste blocking pedestrian path. immediate attention needed immediate attention needed,high
garbage,alley,1,Scattered trash on street after collection missed. needs quick fix please fix soon,low
garbage,main_road,10,Illegal dumping near drainage. hazardous,high
pothole,alley,3,"Large pothole on the road, car damage likely",medium
garbage,highway,5,Scattered trash on street after collection missed,medium
garbage,main_road,4,Pile of household waste blocking pedestrian path. hazardous low priority,high
garbage,highway,6,"Garbage dumped near sidewalk, attracting animals. needs quick fix",medium
garbage,main_road,14,"Overflowing garbage bin, foul smell. hazardous",high
pothole,residential,27,Deep pothole causing vibration to vehicles. needs quick fix,high
garbage,highway,3,"Overflowing garbage bin, foul smell. hazardous",high
pothole,alley,12,"Pothole filled with water, hidden hazard. not urgent low priority",high
pothole,alley,10,"Pothole filled with water, hidden hazard. not urgent",medium
garbage,highway,5,"Overflowing garbage bin, foul smell. low priority",high
drainage,main_road,21,"Drain clogged, water overflowing onto road. immediate attention needed",high
drainage,alley,1,Sewage backup overflowing onto street. please fix soon,high
drainage,alley,0,"Drain clogged, water overflowing onto road",high
drainage,residential,13,"Open drainage cover, dangerous for pedestrians",high
streetlight,highway,4,"Streetlight intermittent, safety concern. please fix soon",high
pothole,residential,13,Deep pothole causing vibration to vehicles. causing accidents,high
drainage,main_road,15,Drainage blocked with garbage and leaves,high
drainage,alley,0,Sewage backup overflowing onto street,high
pothole,main_road,15,Deep pothole causing vibration to vehicles. immediate attention needed,high
garbage,highway,4,Illegal dumping near drainage. not urgent,medium
streetlight,main_road,4,Pole lamp broken and leaning,medium
pothole,residential,6,"Pothole filled with water, hidden hazard. low priority",medium
drainage,main_road,18,Drainage blocked with garbage and leaves,high
garbage,main_road,0,"Garbage dumped near sidewalk, attracting animals",low
pothole,alley,4,Multiple potholes across the lane. immediate attention needed,medium
drainage,highway,8,Standing water near drain after rain. please fix soon,high
streetlight,residential,8,"Streetlight intermittent, safety concern",medium
garbage,alley,8,Pile of household waste blocking pedestrian path,high
drainage,alley,1,Standing water near drain after rain. needs quick fix,low
pothole,residential,2,Small pothole near the curb,low
drainage,residential,3,Standing water near drain after rain,medium
streetlight,residential,11,"Flickering streetlight, sparks visible",high
garbage,residential,2,Scattered trash on street after collection missed,low
drainage,main_road,1,Standing water near drain after rain. low priority,low
streetlight,main_road,22,Light out on the main road intersection,medium
streetlight,main_road,0,"Flickering streetlight, sparks visible",high
streetlight,main_road,42,Light out on the main road intersection. not urgent,medium
streetlight,alley,7,"Streetlight intermittent, safety concern. please fix soon",medium
streetlight,highway,12,Light out on the main road intersection,high
pothole,highway,2,Deep pothole causing vibration to vehicles,low
garbage,alley,0,Illegal dumping near drainage,low
garbage,main_road,9,Scattered trash on street after collection missed. not urgent,high
garbage,highway,12,Pile of household waste blocking pedestrian path,high
drainage,main_road,9,"Drain clogged, water overflowing onto road. urgent immediate attention needed",high
streetlight,highway,1,"Streetlight intermittent, safety concern. immediate attention needed",high
garbage,main_road,9,"Overflowing garbage bin, foul smell",high
pothole,highway,10,Small pothole near the curb,high
streetlight,alley,7,"Flickering streetlight, sparks visible. please fix soon",high
streetlight,main_road,10,"Flickering streetlight, sparks visible. low priority",high
drainage,alley,13,"Open drainage cover, dangerous for pedestrians. hazardous",high
pothole,residential,6,"Pothole filled with water, hidden hazard. causing accidents",high
drainage,main_road,0,Drainage blocked with garbage and leaves,low
drainage,residential,4,"Drain clogged, water overflowing onto road. please fix soon",high
garbage,alley,0,"Garbage dumped near sidewalk, attracting animals. immediate attention needed",low
garbage,alley,3,"Garbage dumped near sidewalk, attracting animals",medium
garbage,highway,3,Illegal dumping near drainage,medium
garbage,alley,0,Illegal dumping near drainage. urgent,low
garbage,alley,3,Illegal dumping near drainage. hazardous,high
garbage,main_road,0,Pile of household waste blocking pedestrian path. low priority,high
streetlight,main_road,11,Pole lamp broken and leaning,high
garbage,highway,20,Illegal dumping near drainage. immediate attention needed,high
pothole,alley,0,Multiple potholes across the lane. not urgent not urgent,low
garbage,alley,21,"Overflowing garbage bin, foul smell",high
streetlight,residential,5,Pole lamp broken and leaning,medium
drainage,highway,2,Drainage blocked with garbage and leaves. causing accidents hazardous,high
pothole,highway,0,Small pothole near the curb. please fix soon,low
streetlight,main_road,4,Light out on the main road intersection. hazardous,high
streetlight,main_road,11,"Streetlight intermittent, safety concern. immediate attention needed",high
drainage,residential,8,Sewage backup overflowing onto street,high
drainage,main_road,0,"Drain clogged, water overflowing onto road",high
pothole,highway,0,"Large pothole on the road, car damage likely. hazardous",high
garbage,residential,3,"Garbage dumped near sidewalk, attracting animals. hazardous",high
pothole,residential,2,Deep pothole causing vibration to vehicles,low
pothole,highway,1,"Pothole filled with water, hidden hazard. urgent",low
drainage,main_road,2,Sewage backup overflowing onto street,high
streetlight,alley,11,"Flickering streetlight, sparks visible",high
drainage,main_road,18,Sewage backup overflowing onto street. not urgent,high
drainage,highway,3,Standing water near drain after rain,medium
garbage,alley,16,Illegal dumping near drainage,high
streetlight,alley,2,Pole lamp broken and leaning,low
garbage,main_road,4,"Overflowing garbage bin, foul smell. low priority",high
pothole,alley,1,"Pothole filled with water, hidden hazard. low priority needs quick fix",low
drainage,highway,7,"Open drainage cover, dangerous for pedestrians",high
drainage,alley,27,Sewage backup overflowing onto street,high
streetlight,alley,6,"Flickering streetlight, sparks visible. causing accidents",high
streetlight,alley,3,Light out on the main road intersection,medium
drainage,alley,7,"Open drainage cover, dangerous for pedestrians. hazardous",high
pothole,residential,0,Small pothole near the curb. needs quick fix,low
garbage,highway,15,Illegal dumping near drainage. needs quick fix needs quick fix,high
pothole,residential,4,Small pothole near the curb. hazardous immediate attention needed,high
drainage,residential,4,"Drain clogged, water overflowing onto road. causing accidents",high
streetlight,highway,6,Light out on the main road intersection,high
garbage,residential,6,Illegal dumping near drainage. low priority immediate attention needed,medium
garbage,alley,0,Pile of household waste blocking pedestrian path. immediate attention needed,high
drainage,alley,8,Standing water near drain after rain,high
streetlight,main_road,1,"Flickering streetlight, sparks visible",high
garbage,residential,8,Pile of household waste blocking pedestrian path. urgent,high
drainage,main_road,12,Drainage blocked with garbage and leaves,high
drainage,alley,11,Sewage backup overflowing onto street,high
drainage,highway,5,"Drain clogged, water overflowing onto road. urgent",high
garbage,highway,5,"Garbage dumped near sidewalk, attracting animals",medium
garbage,highway,1,"Overflowing garbage bin, foul smell",high
streetlight,residential,10,Light out on the main road intersection,medium
streetlight,residential,2,"Streetlight intermittent, safety concern. please fix soon",low
drainage,main_road,4,"Drain clogged, water overflowing onto road",high
streetlight,alley,2,Light out on the main road intersection. please fix soon,low
streetlight,highway,1,"Flickering streetlight, sparks visible",high
drainage,main_road,6,Drainage blocked with garbage and leaves,high
streetlight,alley,0,Light out on the main road intersection,low
pothole,main_road,9,Deep pothole causing vibration to vehicles,high
pothole,residential,2,"Large pothole on the road, car damage likely",low
drainage,alley,0,Drainage blocked with garbage and leaves,low
streetlight,highway,5,Pole lamp broken and leaning. needs quick fix,high
garbage,main_road,0,Pile of household waste blocking pedestrian path,high
drainage,main_road,2,Standing water near drain after rain. low priority,low
pothole,highway,8,"Large pothole on the road, car damage likely. urgent",high
garbage,alley,0,"Overflowing garbage bin, foul smell",high
drainage,highway,12,"Drain clogged, water overflowing onto road. please fix soon",high
streetlight,residential,0,"Streetlight intermittent, safety concern. hazardous",high
streetlight,highway,1,"Streetlight not working at night, area dark. urgent",high
pothole,main_road,9,Deep pothole causing vibration to vehicles,high
garbage,highway,2,Scattered trash on street after collection missed,low
pothole,residential,0,Deep pothole causing vibration to vehicles. please fix soon,low
pothole,alley,3,Multiple potholes across the lane. please fix soon low priority,medium
drainage,alley,2,Drainage blocked with garbage and leaves. please fix soon,low
garbage,alley,12,"Garbage dumped near sidewalk, attracting animals",high
streetlight,main_road,2,"Flickering streetlight, sparks visible",high
pothole,highway,10,"Large pothole on the road, car damage likely. immediate attention needed",high
garbage,main_road,15,"Garbage dumped near sidewalk, attracting animals",high
streetlight,residential,3,"Streetlight intermittent, safety concern. needs quick fix",medium
pothole,residential,16,Deep pothole causing vibration to vehicles,high
streetlight,main_road,3,Light out on the main road intersection. immediate attention needed please fix soon,medium
garbage,main_road,23,Pile of household waste blocking pedestrian path,high
streetlight,alley,0,"Flickering streetlight, sparks visible",high
garbage,residential,8,Illegal dumping near drainage,medium
drainage,residential,4,Drainage blocked with garbage and leaves. low priority hazardous,high
drainage,alley,3,Standing water near drain after rain,medium
garbage,highway,7,"Overflowing garbage bin, foul smell",high
streetlight,residential,8,"Streetlight not working at night, area dark. causing accidents",high
streetlight,residential,0,"Streetlight intermittent, safety concern. causing accidents",high
pothole,alley,1,Multiple potholes across the lane,low
garbage,highway,8,Scattered trash on street after collection missed. not urgent,medium
pothole,alley,7,"Pothole filled with water, hidden hazard",medium
drainage,residential,23,Sewage backup overflowing onto street. please fix soon,high
pothole,main_road,10,Multiple potholes across the lane. please fix soon causing accidents,high
pothole,main_road,21,"Pothole filled with water, hidden hazard. urgent",high
pothole,residential,8,Multiple potholes across the lane,medium
garbage,highway,2,Illegal dumping near drainage,low
streetlight,highway,0,Light out on the main road intersection,high
streetlight,highway,10,"Flickering streetlight, sparks visible",high
streetlight,main_road,7,"Streetlight intermittent, safety concern. not urgent",medium
pothole,residential,0,Deep pothole causing vibration to vehicles. hazardous,high
streetlight,main_road,3,Pole lamp broken and leaning,medium
garbage,main_road,21,"Garbage dumped near sidewalk, attracting animals. please fix soon",high
pothole,highway,4,Deep pothole causing vibration to vehicles,medium
pothole,main_road,3,"Large pothole on the road, car damage likely",medium
streetlight,main_road,4,"Streetlight not working at night, area dark",medium
garbage,highway,1,Pile of household waste blocking pedestrian path,high
pothole,residential,3,"Large pothole on the road, car damage likely. not urgent",medium
streetlight,highway,3,"Streetlight intermittent, safety concern",high
pothole,highway,0,Deep pothole causing vibration to vehicles. hazardous,high
drainage,alley,10,Standing water near drain after rain. not urgent,high
garbage,highway,3,Illegal dumping near drainage,medium
drainage,main_road,12,Sewage backup overflowing onto street,high
pothole,main_road,13,"Pothole filled with water, hidden hazard",high
streetlight,residential,1,"Flickering streetlight, sparks visible. causing accidents",high
pothole,residential,7,"Large pothole on the road, car damage likely",medium
streetlight,alley,4,"Streetlight not working at night, area dark",medium
pothole,main_road,14,"Large pothole on the road, car damage likely",high
pothole,main_road,1,"Pothole filled with water, hidden hazard",low
streetlight,highway,7,"Streetlight intermittent, safety concern",high
streetlight,main_road,6,Pole lamp broken and leaning,medium
pothole,highway,2,"Large pothole on the road, car damage likely",low
drainage,residential,1,Drainage blocked with garbage and leaves,low
garbage,highway,7,Illegal dumping near drainage. needs quick fix,medium
streetlight,alley,9,"Streetlight not working at night, area dark. please fix soon",medium
pothole,main_road,2,Multiple potholes across the lane,low
streetlight,highway,7,"Streetlight not working at night, area dark",high
streetlight,highway,3,"Flickering streetlight, sparks visible",high
pothole,main_road,8,"Large pothole on the road, car damage likely. immediate attention needed",high
streetlight,residential,1,"Streetlight not working at night, area dark",low
pothole,residential,15,"Pothole filled with water, hidden hazard. low priority",high
pothole,main_road,2,"Large pothole on the road, car damage likely. urgent needs quick fix",low
pothole,alley,3,Small pothole near the curb. hazardous,high
drainage,highway,0,Standing water near drain after rain. immediate attention needed,low
pothole,alley,0,Deep pothole causing vibration to vehicles. causing accidents,high
garbage,highway,5,Illegal dumping near drainage,medium
drainage,alley,2,Sewage backup overflowing onto street. not urgent,high
garbage,main_road,12,Illegal dumping near drainage. hazardous,high
garbage,residential,0,Scattered trash on street after collection missed. immediate attention needed,low
streetlight,alley,3,"Streetlight not working at night, area dark",medium
drainage,residential,2,"Open drainage cover, dangerous for pedestrians",low
pothole,main_road,0,Deep pothole causing vibration to vehicles,low
drainage,highway,0,"Drain clogged, water overflowing onto road. causing accidents",high
streetlight,highway,3,"Streetlight intermittent, safety concern. causing accidents",high
pothole,alley,4,"Large pothole on the road, car damage likely. needs quick fix immediate attention needed",medium
streetlight,residential,3,Light out on the main road intersection. please fix soon,medium
drainage,main_road,5,"Open drainage cover, dangerous for pedestrians. causing accidents",high
drainage,alley,6,Drainage blocked with garbage and leaves,high
streetlight,highway,0,Light out on the main road intersection. urgent,high
garbage,residential,4,"Garbage dumped near sidewalk, attracting animals",medium
drainage,residential,23,Standing water near drain after rain. urgent,high
pothole,alley,5,Small pothole near the curb. causing accidents,high
streetlight,alley,7,Light out on the main road intersection. needs quick fix,medium
drainage,highway,2,"Open drainage cover, dangerous for pedestrians",low
drainage,highway,10,Standing water near drain after rain,high
pothole,residential,10,Multiple potholes across the lane,medium
pothole,highway,5,Multiple potholes across the lane. please fix soon,medium
streetlight,main_road,26,"Streetlight intermittent, safety concern",medium
drainage,alley,0,Sewage backup overflowing onto street. urgent,high
garbage,residential,0,"Overflowing garbage bin, foul smell",high
streetlight,alley,10,Pole lamp broken and leaning,medium
drainage,alley,11,Sewage backup overflowing onto street,high
garbage,alley,0,Illegal dumping near drainage. causing accidents,high
streetlight,residential,2,Light out on the main road intersection,low
garbage,main_road,0,Pile of household waste blocking pedestrian path. immediate attention needed,high
pothole,main_road,2,Deep pothole causing vibration to vehicles. needs quick fix,low
garbage,highway,10,"Overflowing garbage bin, foul smell",high
garbage,main_road,5,"Garbage dumped near sidewalk, attracting animals",high
pothole,highway,2,Small pothole near the curb. not urgent please fix soon,low
garbage,main_road,3,"Overflowing garbage bin, foul smell. causing accidents",high
pothole,residential,0,Multiple potholes across the lane,low
drainage,highway,2,Drainage blocked with garbage and leaves,low
pothole,alley,7,Deep pothole causing vibration to vehicles,medium
pothole,highway,25,Multiple potholes across the lane,high
streetlight,highway,13,Light out on the main road intersection,high
garbage,main_road,0,"Overflowing garbage bin, foul smell",high
pothole,residential,16,Deep pothole causing vibration to vehicles. hazardous,high
pothole,main_road,10,Deep pothole causing vibration to vehicles,high
streetlight,alley,10,"Streetlight not working at night, area dark",medium
drainage,highway,4,"Drain clogged, water overflowing onto road",high
streetlight,residential,3,Light out on the main road intersection. immediate attention needed,medium
drainage,alley,2,Drainage blocked with garbage and leaves. low priority hazardous,high
garbage,highway,0,"Overflowing garbage bin, foul smell",high
drainage,alley,1,"Drain clogged, water overflowing onto road",high
drainage,residential,1,Sewage backup overflowing onto street,high
streetlight,alley,4,"Flickering streetlight, sparks visible",high
drainage,alley,9,Drainage blocked with garbage and leaves. needs quick fix,high
streetlight,main_road,4,"Streetlight not working at night, area dark. please fix soon",medium
garbage,highway,0,Illegal dumping near drainage. hazardous,high
drainage,highway,22,Sewage backup overflowing onto street,high
drainage,highway,20,Sewage backup overflowing onto street. causing accidents,high
drainage,highway,10,Sewage backup overflowing onto street,high
pothole,main_road,33,Multiple potholes across the lane,high
pothole,residential,5,Small pothole near the curb. hazardous,high
pothole,alley,23,"Pothole filled with water, hidden hazard",high
drainage,highway,0,Sewage backup overflowing onto street. needs quick fix immediate attention needed,high
streetlight,alley,3,"Flickering streetlight, sparks visible",high
streetlight,highway,1,"Streetlight not working at night, area dark",high
pothole,highway,1,"Large pothole on the road, car damage likely. immediate attention needed causing accidents",high
garbage,highway,1,Pile of household waste blocking pedestrian path,high
streetlight,highway,6,"Streetlight intermittent, safety concern. hazardous",high
streetlight,alley,10,"Streetlight not working at night, area dark",medium
streetlight,residential,6,Pole lamp broken and leaning. hazardous,high
garbage,residential,1,Pile of household waste blocking pedestrian path,high
drainage,main_road,11,Standing water near drain after rain,high
streetlight,alley,7,Light out on the main road intersection. not urgent,medium
pothole,highway,3,"Large pothole on the road, car damage likely",medium
garbage,residential,7,Scattered trash on street after collection missed. please fix soon,medium
garbage,alley,2,Illegal dumping near drainage. not urgent please fix soon,low
drainage,residential,2,Standing water near drain after rain,low
drainage,alley,17,"Drain clogged, water overflowing onto road. needs quick fix",high
pothole,alley,2,Deep pothole causing vibration to vehicles. needs quick fix,low
pothole,main_road,4,Deep pothole causing vibration to vehicles. please fix soon,medium
pothole,alley,15,Small pothole near the curb. urgent,high
streetlight,residential,8,"Flickering streetlight, sparks visible",high
drainage,main_road,0,Drainage blocked with garbage and leaves,low
pothole,alley,1,Small pothole near the curb. immediate attention needed not urgent,low
streetlight,main_road,0,"Streetlight intermittent, safety concern",low
streetlight,alley,6,Pole lamp broken and leaning. causing accidents,high
drainage,residential,4,Sewage backup overflowing onto street. please fix soon,high
pothole,alley,1,"Large pothole on the road, car damage likely",low
garbage,main_road,22,Scattered trash on street after collection missed,high
streetlight,highway,5,"Flickering streetlight, sparks visible",high
streetlight,residential,1,"Streetlight intermittent, safety concern",low
pothole,highway,4,"Pothole filled with water, hidden hazard. not urgent",medium
streetlight,highway,7,"Flickering streetlight, sparks visible",high
drainage,residential,0,Standing water near drain after rain. urgent,low
streetlight,highway,2,Pole lamp broken and leaning. please fix soon,high
drainage,main_road,11,"Open drainage cover, dangerous for pedestrians. low priority",high
streetlight,residential,4,"Streetlight not working at night, area dark. causing accidents",high
pothole,highway,5,"Large pothole on the road, car damage likely",medium
garbage,highway,3,Illegal dumping near drainage. causing accidents,high
pothole,main_road,0,"Pothole filled with water, hidden hazard. not urgent",low
drainage,highway,1,Drainage blocked with garbage and leaves,low
pothole,alley,4,Small pothole near the curb. not urgent,medium
pothole,highway,1,Deep pothole causing vibration to vehicles. urgent,low
pothole,highway,0,Small pothole near the curb. hazardous,high
pothole,main_road,12,"Pothole filled with water, hidden hazard. needs quick fix",high
streetlight,highway,27,Light out on the main road intersection,high
drainage,alley,11,Standing water near drain after rain,high
pothole,highway,13,Small pothole near the curb,high
streetlight,highway,1,"Streetlight intermittent, safety concern. causing accidents",high
garbage,residential,22,"Overflowing garbage bin, foul smell",high
garbage,main_road,1,"Garbage dumped near sidewalk, attracting animals",low
drainage,main_road,21,"Drain clogged, water overflowing onto road. please fix soon",high
garbage,highway,36,"Overflowing garbage bin, foul smell. urgent",high
streetlight,main_road,8,"Streetlight intermittent, safety concern",medium
pothole,residential,27,"Large pothole on the road, car damage likely",high
garbage,alley,5,Pile of household waste blocking pedestrian path,high
pothole,highway,2,"Large pothole on the road, car damage likely",low
pothole,highway,4,Deep pothole causing vibration to vehicles. causing accidents,high
streetlight,alley,6,Light out on the main road intersection. urgent,medium
garbage,main_road,0,Pile of household waste blocking pedestrian path. causing accidents hazardous,high
drainage,residential,6,Standing water near drain after rain. not urgent,high
drainage,alley,27,Sewage backup overflowing onto street. needs quick fix,high
drainage,main_road,1,Sewage backup overflowing onto street,high
pothole,highway,11,Deep pothole causing vibration to vehicles. urgent,high
garbage,main_road,16,Scattered trash on street after collection missed. needs quick fix,high
drainage,alley,20,"Drain clogged, water overflowing onto road. low priority",high
pothole,highway,22,"Large pothole on the road, car damage likely",high
pothole,highway,5,Multiple potholes across the lane. immediate attention needed,medium
streetlight,main_road,26,"Streetlight not working at night, area dark",medium
streetlight,main_road,9,Light out on the main road intersection,medium
garbage,alley,1,Scattered trash on street after collection missed,low
garbage,highway,4,Illegal dumping near drainage. low priority,medium
drainage,main_road,8,Standing water near drain after rain,high
streetlight,main_road,1,"Flickering streetlight, sparks visible. causing accidents",high
streetlight,main_road,7,Light out on the main road intersection,medium
pothole,alley,7,Multiple potholes across the lane,medium
garbage,main_road,1,Pile of household waste blocking pedestrian path,high
garbage,highway,5,Pile of household waste blocking pedestrian path. causing accidents,high
drainage,main_road,10,Standing water near drain after rain,high
streetlight,main_road,4,"Streetlight intermittent, safety concern. urgent",medium
streetlight,highway,0,Pole lamp broken and leaning,high
pothole,main_road,0,Multiple potholes across the lane,low
drainage,alley,3,Sewage backup overflowing onto street,high
drainage,alley,18,Standing water near drain after rain. not urgent,high
streetlight,alley,1,"Streetlight not working at night, area dark",low
garbage,alley,7,"Overflowing garbage bin, foul smell",high
drainage,main_road,1,Sewage backup overflowing onto street. low priority,high
pothole,residential,2,Deep pothole causing vibration to vehicles,low
drainage,main_road,13,Sewage backup overflowing onto street,high
streetlight,highway,9,"Streetlight not working at night, area dark",high
drainage,highway,0,"Drain clogged, water overflowing onto road",high
garbage,alley,3,"Overflowing garbage bin, foul smell. not urgent",high
drainage,highway,0,"Drain clogged, water overflowing onto road",high
streetlight,highway,4,"Streetlight not working at night, area dark",high
pothole,residential,7,"Large pothole on the road, car damage likely. immediate attention needed",medium
streetlight,highway,0,Light out on the main road intersection,high
drainage,alley,2,Drainage blocked with garbage and leaves. low priority,low
drainage,residential,3,Standing water near drain after rain. needs quick fix,medium
streetlight,alley,17,"Flickering streetlight, sparks visible. needs quick fix",high
garbage,alley,34,"Garbage dumped near sidewalk, attracting animals",high
pothole,alley,0,"Pothole filled with water, hidden hazard",low
drainage,highway,10,Standing water near drain after rain. please fix soon causing accidents,high
drainage,main_road,3,Drainage blocked with garbage and leaves. hazardous,high
streetlight,residential,3,"Flickering streetlight, sparks visible. not urgent immediate attention needed",high
garbage,highway,9,"Garbage dumped near sidewalk, attracting animals",medium
drainage,highway,17,"Drain clogged, water overflowing onto road. immediate attention needed",high
drainage,alley,21,"Open drainage cover, dangerous for pedestrians",high
streetlight,main_road,6,Light out on the main road intersection,medium
streetlight,alley,3,"Streetlight not working at night, area dark. needs quick fix please fix soon",medium
streetlight,residential,10,"Streetlight intermittent, safety concern. hazardous",high
streetlight,highway,2,"Flickering streetlight, sparks visible",high
pothole,highway,5,"Pothole filled with water, hidden hazard. urgent",medium
drainage,residential,3,"Drain clogged, water overflowing onto road. immediate attention needed",high
